product_sku,product_name,brand,tipo,unit,customer_code,customer_name,week_ref,qty,price_unit,cost_unit,sales_total,cost_total,profit_total
SKU-CC77E1CB6E,Banderas,,,Unidad,CLI-2025,clients-2025,SEMANA-3-A,1.0,0.0,0.0,0.0,0.0,0.0
SKU-4FD29741F2,taps,,,unidad,CLI-2025,clients-2025,SEMANA-3-A,52.0,0.0,0.0,0.0,0.0,0.0
