product_sku,product_name,brand,tipo,unit,stock_current
SKU-E325832F3F,Escobilla Pequeña de Zapato,,,Unidad,12.0
SKU-ECD780DC01,Espejo Mediano,,,Unidad,2.0
SKU-E0DA16F501,Espejo Pequeño,,,Unidad,6.0
SKU-2DF149588E,Esponja Merlin,,,Unidad,71.0
SKU-EE9347CD6F,Estuches de Plastico,,Cartuchera,Unidad,5.0
SKU-E9EF9D1B06,Fastener de Gusano,Artesco,,Unidad,18.0
SKU-CD28C46730,Fastener de metal,Artesco,,Unidad,95.0
SKU-80F3629E6F,Folder a color de cartulina,,Folder,Unidad,71.0
SKU-DAADE270A8,Folder doble tapa,,,unidad,3.0
SKU-807FCCA0D5,Folder Genius,,Folder,Unidad,0.0
SKU-5CE02680E1,Folder Manila A4,,Folder,Unidad,391.0
SKU-92E9FC0267,Folder Top,,Folder,Unidad,26.0
SKU-A95695902B,Folder Vinifan,,Folder,Unidad,2.0
SKU-67CEA9B1B6,forro artesco,Artesco,Forro Vinifan,unidad,6.0
SKU-86FCEA2F11,Forro Vinifan A4,Vinifan,Forro Vinifan,Unidad,0.0
SKU-CC0A8E99BA,Forro vinifan A4,Perufan,Forro Vinifan,Unidad,8.0
SKU-5CC706071A,Forro vinifan A4,Forrofan,Forro Vinifan,Unidad,8.0
SKU-610A957481,Forro Vinifan Grande OM,Perufan,Forro Vinifan,Unidad,0.0
SKU-AD04CF829D,Gancho Merly,,,Unidad,38.0
SKU-D2E3DF6E54,gancho picos de colores,,,Unidad,11.0
SKU-1046AB44A5,glitter de escarcha liquida x 6,,,unidad,6.0
SKU-AB321F3F5E,Globos,,,Unidad,200.0
SKU-F901C51CE7,Goma en barra 21Gr,Layconsa,Goma,Unidad,10.0
SKU-D8FC9604BF,Goma en barra 40g,Artesco,Goma,unidad,6.0
SKU-D740B5A41D,Goma en barra 40Gr,Faber Castell,Goma,Unidad,0.0
SKU-CF887E5EC4,Goma en barra 8 gr,Layconsa,Goma,unidad,28.0
SKU-6AFF87246E,goma en barra ranparente,,,unidad,3.0
SKU-83F6CC885D,Goma liquida 125g,Layconsa,Goma,unidad,23.0
SKU-BF27740F3E,Goma liquida 250g,Layconsa,Goma,unidad,15.0
SKU-E6ECA4BB2D,Goma Liquida Mar David 60gr,,Goma,Unidad,3.0
SKU-FEC4345327,Guantes,,,pares,8.0
SKU-CB6A706CAF,guillet,,,Cajitas,45.0
SKU-F06AE39D3D,Hizopo,,,Unidad,11.0
SKU-C74ADF4922,Hojas de color 100 und,,,unidad,0.0
SKU-3702ECA90D,Imperdible Amarillo Pequeño,,,Unidad,12.0
SKU-D937B9BE42,Imperdible Blanco,,,Unidad,130.0
SKU-26FF8F2A26,Jabon liquido grande,,,Unidad,25.0
SKU-C2A71FB517,Jabon liquido pequeño,,,Unidad,16.0
SKU-81B56FA010,jaboncillo camai,,,unidad,10.0
SKU-EEDF6B72FC,Jaboneras,,,Unidad,1.0
SKU-9FD0B9F742,Juego de reglas 20 cm,Layconsa,Regla,Unidad,20.0
SKU-53F12AE701,Juego de reglas 30 cm,Layconsa,Regla,Unidad,28.0
SKU-8130CA3015,Lana de colores,,,Unidad,6.0
SKU-CEFF1F2EA0,lapicero 060 azul rojo,Faber Castell,Lapicero,unidad,6.0
SKU-B2F5C02F79,Lapicero a color x 12 und,Oval,Lapicero,unidad,5.0
SKU-41BFC833EE,lapicero azul rojo layconsa,,,unidad,17.0
SKU-E7A85984D4,"lapicero azul, rojo, negro y verde",Youmei,Lapicero,unidad,26.0
SKU-04E6FF7B12,Lapicero borrable conejo,,,unidad,0.0
SKU-CFBA4FF0E5,Lapicero borrrable chocolate osito,,,unidad,2.0
SKU-B298BDA13D,Lapicero brillante x12 und,,Lapicero,unidad,12.0
SKU-0202856B37,lapicero escarchado x 6,,,unidad,2.0
SKU-8BE215E80A,Lapicero kawai x 10,,,unidad,0.0
SKU-096E7DB466,Lapicero pilot azul,PILOT,Lapicero,unidad,11.0
SKU-145EBEB2A3,Lapicero tinta gel con orejitas,,,unidad,3.0
SKU-6A944058B9,Lapicero Trilux - 035,Faber Castell,Lapicero,Unidad,65.0
SKU-F5EC060813,Lapicero Trilux Azul-032,Faber Castell,Lapicero,Unidad,16.0
SKU-60D09319A8,Lapicero Trilux Negro-032,Faber Castell,Lapicero,Unidad,46.0
SKU-7B58D3DC43,Lapicero Trilux Rojo-032,Faber Castell,Lapicero,Unidad,41.0
SKU-E29E5C3C39,Lapicero Trilux-031,Faber Castell,Lapicero,Unidad,35.0
SKU-0868F564AF,lapiceros capibara,,,unidad,3.0
SKU-64BDAEE8CD,lapiceros happy,,,unidad,3.0
SKU-44763E1EDC,lapiceros kuromi,,,unidad,2.0
SKU-B8814F277F,lapiceros osito,,,unidad,0.0
SKU-43639DD892,Lapices de Color largos x 12,Layconsa,Colores,Unidad,3.0
SKU-9B7EDEA31E,Lapiz 2B,Vikingo,Lapiz,Unidad,22.0
SKU-308DF87D2B,Lapiz 2B Titan,Faber Castell,Lapiz,Unidad,31.0
SKU-02B3887529,Lapiz Bicolor,Artesco,Lapiz,Unidad,108.0
SKU-47649F38F3,Lapiz Bicolor,Layconsa,Lapiz,Unidad,32.0
SKU-81A994DEC0,Lapiz Chequeo Rojo,Artesco,Lapiz,Unidad,60.0
SKU-32111CF5F0,Lapiz Chequeo Rojo,Layconsa,Lapiz,Unidad,106.0
SKU-8C03C7B0A4,lapiz con diseño,,,unidad,9.0
SKU-2AC9B9F61B,lapiz de color pequeño x 12,Layconsa,Colores,Unidad,7.0
SKU-8FC03EDBA8,Lapiz Grazo Negro,Layconsa,Lapiz,Unidad,28.0
SKU-CC7C567DF1,Lapiz Jumbo,Layconsa,Lapiz,unidad,20.0
SKU-4985AB403E,Lapiz Punsonez,,Lapiz,Unidad,105.0
SKU-ACD539DCF8,Lapiz Semi Negro,Layconsa,Lapiz,Unidad,33.0
SKU-90944B7E8F,Lapiz tecnico 6B,Layconsa,Lapiz,Unidad,35.0
SKU-3D1BE72419,Lentejuelas grandes,,,Unidad,9.0
SKU-4B882EFB24,Lentejuelas JhinPequeñas,,,Unidad,9.0
SKU-894F4DE5BD,Libro de actas 100f,,,Unidad,1.0
SKU-6883152A26,Libro de actas 200f,,,Unidad,2.0
SKU-FE809B4294,Libro de Cuentos,,,Unidad,6.0
SKU-676E05737E,liga de lana,,,Paquete,1.0
SKU-3198E087D3,liga para cabello,,,Paquete,3.0
SKU-371E102C11,llajes grande,,,Unidad,13.0
SKU-C61C6AC664,llajes pequeños,,,unidad,100.0
SKU-D7B21404F3,Llavero capibara monedero,,,unidad,4.0
SKU-4D785AB75B,Llavero capibara televisor,,,unidad,2.0
SKU-06298A559F,loncheras,,,unidad,0.0
SKU-5B234D9B53,Luces de colors 200 leds,,,Unidad,8.0
SKU-1A61EF5307,Meseros Personales - Niños,,,Unidad,7.0
SKU-0F68E2EC13,Micas A4,Artesco,,Unidad,35.0
SKU-A8C9B88E81,micas con diseño,,,unidad,2.0
SKU-93E5BF3071,Microporoso escarchado A4,,,unidad,18.0
SKU-96A54B592D,Microporoso Glitter self Adhesivo letras escarchados,,,Unidad,29.0
SKU-E541A2F517,Mistura Amarilla,,,unidad,1.0
SKU-45575800B4,Mistura de Color,,,unidad,1.0
SKU-12188D3F87,moñeras,,,Unidad,28.0
SKU-092DBFBBB5,muñeca 2610,,Juguetes,Unidad,11.0
SKU-25E6A5907E,muñeca con accesorios 8260,,Juguetes,Unidad,0.0
SKU-4B01AE4F36,muñeca con accesorios 8280,,Juguetes,Unidad,5.0
SKU-4797BF2879,muñeca con accesorios LY 2310,,Juguetes,Unidad,5.0
SKU-719315C9EF,Nombre de cuaderno,,,Unidad,90.0
SKU-B2BE8E20C5,Obras Literarias,,Obras Literarias,Unidad,5.0
SKU-D0B9BAA1A3,Ojitos,,,Unidad,11.0
SKU-0E6AA9F21D,Paletas de pinturas,,Paleta,Unidad,16.0
SKU-B977212681,Papel Arcoiris,,Papel,1/2 millar,6.0
SKU-DDAC91E10D,Papel boom,,Papel,unidad,6.0
SKU-2544F733EC,Papel boom 70 gr,,Papel,unidad,6.0
SKU-34FB243C18,papel boom acolor pastel,,,unidad,490.0
SKU-BB482D8842,Papel celofan,,Papel,Unidad,5.0
SKU-9FCECC1704,Papel Cometa,,Papel,Unidad,64.0
SKU-1EDA4B9225,Papel Corrospum,,Papel,Unidad,29.0
SKU-103C7E2AE9,Papel corrugado,,Papel,Unidad,26.0
SKU-283B2C011D,Papel Craft,,Papel,Unidad,64.0
SKU-7762F9C08A,Papel Crepe,,Papel,Unidad,101.0
SKU-E819015A56,Papel Cuadernillo,,Papel,Unidad,45.0
SKU-E51E19D0B3,Papel Cuadriculado 1x1,,Papel,Unidad,95.0
SKU-B82DE634A2,Papel Cuadrimax 2x2,,Papel,Unidad,187.0
SKU-F0BB6DEF54,Papel de regalo,,Papel,Unidad,116.0
SKU-78A62B9611,Papel Lustre,,Papel,Unidad,211.0
SKU-9FB3EB5C65,papel lustre blanco y surtido a color,,Papel,unidad,106.0
SKU-A47A5E460A,Papel microporoso escarchado,,Papel,Unidad,18.0
SKU-A4C46F4DA5,Papel microporoso liso,,,unidad,25.0
SKU-3023CF7487,Papel Punzones A4,,Papel,Unidad,18.0
SKU-9D4E4EE716,Papel Sedita,,Papel,Unidad,55.0
SKU-D80DB7710E,papel sedita,,,unidad,94.0
SKU-FD56706B4D,papel silufan,,,unidad,8.0
SKU-4EE3C50F1D,Papel suave higienico,,,unidad,0.0
SKU-B1B6F52169,papel toalla,,,unidad,2.0
SKU-6884E99187,Papelote blanco,,Papel,Unidad,36.0
SKU-105EDC100D,paquete de ganchos de 6 pares,,,Paquete,33.0
SKU-B513B72D31,pares de pilis,,,pares,3.0
SKU-77F19E15CF,Pasta dental,,,unidad,2.0
SKU-CD3F82FF5C,Peine con cola,,,Unidad,9.0
SKU-BEC3F203A0,Peine grande,,,Unidad,10.0
SKU-DFEAA60E9C,Peine Pequeño,,,Unidad,24.0
SKU-F7BC5C0A44,Pelota,,Juguetes,Unidad,4.0
SKU-8D8B2631DB,Pelotas de trapo,,,unidad,11.0
SKU-D5444E56E1,pelotitas de llajes,,,unidad,41.0
SKU-94488B3896,Percheros,,,Unidad,37.0
SKU-CBB8FF3308,Perforador,Artesco,Perforador,Unidad,12.0
SKU-449B9500E7,Perforador,Arteza,Perforador,Unidad,6.0
SKU-6F3AFF7E6F,Perforador stapler,,Perforador,Unidad,2.0
SKU-2BEED389E4,perlas adornos,,,unidad,12.0
SKU-752D174473,Pincel Escolar 1-6 Besco,,Pincel,Unidad,125.0
SKU-C34DBFF5C5,Pincel Sobre,,,Unidad,28.0
SKU-D8947D85F1,Pincel surtido 0/00/000,,Pincel,unidad,66.0
SKU-4C5B02D17F,Pintura Brillo Escarchado,,Tempera,Unidad,36.0
SKU-AF85D08933,pinza de 12 und,,,Paquete,24.0
SKU-0C7D0AC4E6,pirañas grandes,,,Unidad,9.0
SKU-2B270DE01B,Piñes dedecoración,,,Unidad,12.0
SKU-FF0A8D4DCB,Plastilina,Layconsa,plastilina,Unidad,25.0
SKU-039AB24A72,Platilina ultra suave x6,Artesco,plastilina,unidad,4.0
SKU-68D64EF0A8,Plumon 2.3mm,Faber Castell,Plumon,Unidad,12.0
SKU-FEE239E19B,Plumon Acrilico L-123,Layconsa,Plumon,Unidad,80.0
SKU-DCB1B82D14,Plumon de pizarra vikingo x12,,,unidad,31.0
SKU-8D86A147F9,Plumon fabercito de 10 und,Faber Castell,Plumon,unidad,6.0
SKU-BA273CD9CC,Plumon indeleble azul y negro,Eco,Plumon,unidad,21.0
SKU-7AA172D62E,Plumon Jumbo 123,Faber Castell,Plumon,Unidad,18.0
SKU-78B895FADB,Plumon L-47 papel,Layconsa,Plumon,unidad,25.0
SKU-6381846E56,Plumon marcador Jumbo L-47 x12,Layconsa,Plumon,Unidad,1.0
SKU-2606E9183E,Plumon Pizzarra,Arteza,Plumon,Unidad,23.0
SKU-1C8518A3F6,Plumon school L-45 x 12,Layconsa,Plumon,unidad,6.0
