sku,name,unit,sale_price,stock_on_hand,avg_cost,min_stock,active
SKU-F8C11BD284,Tabla periodica,Unidad,1.5,15.0,0.6667,0,True
SKU-D15BAC6AB0,Cometas,Unidad,0.0,15.0,0.0,0,True
SKU-CC77E1CB6E,Banderas,Unidad,0.0,6.0,0.0,0,True
SKU-96A54B592D,Microporoso Glitter self Adhesivo letras escarchados,Unidad,1.5,14.0,0.8,0,True
SKU-E3DC6271A1,Folder Manila A4,Paquete,1.0,16.0,0.27,0,True
SKU-92E9FC0267,Folder Top,Unidad,5.0,45.0,2.6667,0,True
SKU-807FCCA0D5,Folder Genius,Unidad,0.0,2.0,2.67,0,True
SKU-A95695902B,Folder Vinifan,Unidad,0.0,6.0,2.67,0,True
SKU-80F3629E6F,Folder a color de cartulina,Unidad,0.8,73.0,0.36,0,True
SKU-46E96BE918,Tijeras R-Relampago con formas,Sobre,3.0,1.0,1.6667,0,True
SKU-B763AB4CA4,Tijeras Acolores,Unidad,1.0,17.0,0.6235,0,True
SKU-55A37B661F,Tijeras amarillas,Unidad,1.0,10.0,0.625,0,True
SKU-980649732C,Cuadernillo de anotes pequeño,Unidad,1.5,4.0,1.0,0,True
SKU-BFF6AAF2E2,Cuadernillo de anotes grande,Unidad,3.0,6.0,2.0,0,True
SKU-6883152A26,Libro de actas 200f,Unidad,0.0,2.0,7.2,0,True
SKU-894F4DE5BD,Libro de actas 100f,Unidad,0.0,1.0,3.7,0,True
SKU-B2BE8E20C5,Obras Literarias,Unidad,4.0,5.0,3.5,0,True
SKU-3B45C1A452,Diccionario Bruno Ingles,Unidad,20.0,4.0,7.5,0,True
SKU-8B83AAD0BD,Diccionario Bruno Sinonimos Antonimos,Unidad,20.0,16.0,7.5,0,True
SKU-163DD0A3EC,Diccionario Bruno,Unidad,20.0,8.0,7.0,0,True
SKU-26FF8F2A26,Jabon liquido grande,Unidad,6.0,27.0,4.0,0,True
SKU-C2A71FB517,Jabon liquido pequeño,Unidad,6.0,19.0,3.3316,0,True
SKU-EEDF6B72FC,Jaboneras,Unidad,1.0,4.0,1.0,0,True
SKU-B3C78D2293,Escobilla Grande de Zapato,Unidad,3.0,2.0,1.3,0,True
SKU-E325832F3F,Escobilla Pequeña de Zapato,Unidad,2.5,14.0,1.0,0,True
SKU-2B3E112B79,Betun Marron Grande,Unidad,3.5,2.0,2.0,0,True
SKU-7CBD13501A,Betun Marron Pequeño,Unidad,3.5,23.0,1.5,0,True
SKU-73A71E5263,Esponja Merlin,Paquete,1.5,6.0,0.6667,0,True
SKU-3AD10ADE3E,Pompones,Unidad,0.0,14.0,0.0,0,True
SKU-5B727C91A4,Batisoga pequeño,Unidad,2.5,10.0,1.5,0,True
SKU-B8D34F9520,Batisoga grande,Unidad,3.5,11.0,2.1636,0,True
SKU-350C7C704C,Super esponja,Paquete,1.0,8.0,0.4583,0,True
SKU-E8E22F7A03,Trish,Paquete,0.5,11.0,0.3,0,True
SKU-3BE5E01407,Cinta de color maskin taps,Unidad,3.5,7.0,2.3286,0,True
SKU-98985FC2E2,Cinta electrica,Unidad,1.5,9.0,0.8,0,True
SKU-DBFF6390A4,Cinta Leon 18*45,Unidad,2.0,8.0,1.0,0,True
SKU-0B1DB283DC,Cinta Durafan 12*14,Unidad,0.5,31.0,0.2,0,True
SKU-AC4FD4402D,Cinta Grande Durango,Paquete,3.5,2.0,2.5,0,True
SKU-7CC3237D0B,Cinta Grande Brudan Peru,Paquete,1.5,11.0,0.75,0,True
SKU-80852C9B2C,Cinta Maskin Pegafan 24mm,Unidad,3.0,16.0,2.0,0,True
SKU-79766A3EC4,Cinta Maskin Pegafan 36mm,Unidad,4.0,3.0,3.0,0,True
SKU-FE61DF628C,Cinta Maskin Pegafan 48mm,Unidad,5.0,12.0,3.1667,0,True
SKU-D6FF0730E9,Cinta Maskin Shurtape 3/4*15,Unidad,1.5,2.0,1.0,0,True
SKU-FEB8C87076,Cinta Maskin shurtape 1/2*15,Unidad,1.5,3.0,0.8333,0,True
SKU-36871BCFD9,Cinta Maskin shurtape 1 1/2*15,Unidad,4.0,20.0,3.0,0,True
SKU-A744CA3157,Cinta Maskin shurtaple 1*15,Unidad,2.5,27.0,1.6667,0,True
SKU-440CE89799,Cinta de colores grande,Paquete,0.0,6.0,0.0,0,True
SKU-A441F2A34C,Cinta de colores pequeño,Paquete,0.0,1.0,0.0,0,True
SKU-43639DD892,Lapices de Color largos x 12,Unidad,6.0,10.0,4.66,0,True
SKU-2AC9B9F61B,lapiz de color pequeño x 12,Unidad,5.0,11.0,2.8327,0,True
SKU-66BF1790A8,Fastener de metal,Cajitas,0.5,8.0,0.08,0,True
SKU-E9EF9D1B06,Fastener de Gusano,Unidad,2.0,32.0,0.9594,0,True
SKU-9F897FBDE0,Tomatodo Grande,Unidad,15.0,4.0,12.0,0,True
SKU-31ACA0DEE5,Tomatodo pequeño,Unidad,10.0,7.0,7.0,0,True
SKU-9A43DE1973,Tomatodo Mediano tricolor,Unidad,15.0,15.0,12.0,0,True
SKU-78A62B9611,Papel Lustre,Unidad,0.5,144.0,0.2,0,True
SKU-F0BB6DEF54,Papel de regalo,Unidad,0.7,122.0,0.2795,0,True
SKU-103C7E2AE9,Papel corrugado,Unidad,3.5,26.0,2.4,0,True
SKU-1EDA4B9225,Papel Corrospum,Unidad,5.0,33.0,3.5,0,True
SKU-283B2C011D,Papel Craft,Unidad,1.0,72.0,0.3194,0,True
SKU-9D4E4EE716,Papel Sedita,Unidad,0.5,40.0,0.2,0,True
SKU-9FCECC1704,Papel Cometa,Unidad,0.5,66.0,0.2,0,True
SKU-BB482D8842,Papel celofan,Unidad,1.0,5.0,0.44,0,True
