product_sku,product_name,brand,tipo,unit,stock_current,qty_sold_total,sales_total,cost_total,profit_total,price_variants_count,price_variants
SKU-4164FE1098,cuaderno layconsa teens triple reglon,Layconsa,cuadernos,Unidad,19.0,4.0,20.0,14.4,5.6,1,5.0
SKU-DD5F83467A,cuaderno loro con  diseño A4 100h,loro,cuadernos,Unidad,40.0,7.0,38.5,27.8511,10.6489,1,5.5
SKU-490E89040F,cuaderno loro kinder 70 g,loro,cuadernos,Unidad,43.0,2.0,11.0,7.8,3.2,1,5.5
SKU-3AFD2E7935,Cuaderno Markin # 100 h,Layconsa,cuadernos,unidad,38.0,12.0,54.0,36.0,18.0,1,4.5
SKU-165935C822,cuaderno markin triple reglon 100 h,,cuadernos,unidad,20.0,5.0,22.5,15.0,7.5,1,4.5
SKU-5D1CA38400,"cuaderno stanford,universal, collaje #","stanford,",cuadernos,Unidad,7.0,4.0,28.0,20.0,8.0,1,7.0
SKU-95A4EA7077,cuaderno surco # 100 h,Surco,cuadernos,Unidad,2.0,23.0,80.5,53.82,26.68,1,3.5
SKU-4BB9031A88,cuaderno surco 1x1,Surco,cuadernos,Unidad,14.0,4.0,14.0,9.36,4.64,1,3.5
SKU-4C36B4A224,cuaderno surco 2x2,Surco,cuadernos,Unidad,23.0,3.0,10.5,7.0154,3.4846,1,3.5
SKU-76AF86874F,cuaderno surco con diseño A4 100h,surco,cuadernos,Unidad,13.0,7.0,31.5,16.38,15.12,1,4.5
SKU-8F4446C65E,cuaderno surco grnade # 50 h,Surco,cuadernos,Unidad,3.0,24.0,60.0,33.6,26.4,1,2.5
SKU-2AC8F7DDFD,cuaderno surco pequeño 50  h,Surco,cuadernos,Unidad,86.0,17.0,25.5,17.0,8.5,1,1.5
SKU-0082F4B909,cuaderno surco pqueño 100 h,Surco,cuadernos,Unidad,47.0,14.0,35.0,19.6,15.4,1,2.5
SKU-9E525049DE,cuaderno surco rayado 100 h,Surco,cuadernos,Unidad,20.0,2.0,7.0,4.68,2.32,1,3.5
SKU-7346AC1948,Cuaderno surco triple reglon 100 h,Surco,cuadernos,Unidad,70.0,10.0,35.0,23.025,11.975,1,3.5
SKU-C031FE8F76,cuadernos anillados capibara,,,unidad,2.0,2.0,10.0,5.25,4.75,1,5.0
SKU-E8640331AC,cuadernos stanford 1x1,"stanford,",cuadernos,unidad,24.0,1.0,8.0,5.4,2.6,1,8.0
SKU-F0552067DA,Cuadernos stanford 2x2,"stanford,",cuadernos,unidad,23.0,2.0,16.0,10.8,5.2,1,8.0
SKU-2101C27711,cuadernouniversal 1x1,universal,cuadernos,Unidad,2.0,3.0,21.0,15.0,6.0,1,7.0
SKU-7104AD1984,Cuatrimoto 876/886,,Juguetes,Unidad,7.0,3.0,36.0,24.0,12.0,1,12.0
SKU-6F4B1E2A08,Cuter por tiras d 12,,Cuter,unidad,18.0,6.0,9.0,4.0,5.0,1,1.5
SKU-66529C0038,Dados Grandes,,Juegos didacticos,unidad,111.0,9.0,9.0,2.25,6.75,1,1.0
SKU-818ED060B7,Dados pequeños,,,Unidad,98.0,2.0,1.0,0.5,0.5,1,0.5
SKU-163DD0A3EC,Diccionario Bruno,,,Unidad,7.0,1.0,15.0,7.0,8.0,1,15.0
SKU-32AB3A0D9C,Engrampador stapler,,Engrampador,Unidad,3.0,2.0,20.0,10.0,10.0,1,10.0
SKU-59E1F5048A,Engrapador artesco,Artesco,Engrampador,Unidad,0.0,1.0,8.5,8.5,0.0,1,8.5
SKU-3E2C39E2F6,Escarcha,,,Unidad,29.0,5.0,5.0,2.0,3.0,1,1.0
SKU-2981C63A39,escarcha bliquida grande,,,unidad,9.0,3.0,15.0,7.0,8.0,1,5.0
SKU-B3C78D2293,Escobilla Grande de Zapato,,,Unidad,0.0,2.0,7.0,2.6,4.4,1,3.5
SKU-E325832F3F,Escobilla Pequeña de Zapato,,,Unidad,12.0,2.0,5.0,2.0,3.0,1,2.5
SKU-2DF149588E,Esponja Merlin,,,Unidad,71.0,1.0,1.0,0.6667,0.3333,1,1.0
SKU-E9EF9D1B06,Fastener de Gusano,Artesco,,Unidad,18.0,14.0,28.0,13.4313,14.5687,1,2.0
SKU-CD28C46730,Fastener de metal,Artesco,,Unidad,95.0,1.0,0.5,0.08,0.42,1,0.5
SKU-80F3629E6F,Folder a color de cartulina,,Folder,Unidad,71.0,2.0,2.0,0.72,1.28,1,1.0
SKU-DAADE270A8,Folder doble tapa,,,unidad,3.0,3.0,21.0,16.5,4.5,1,7.0
SKU-807FCCA0D5,Folder Genius,,Folder,Unidad,0.0,2.0,9.0,5.34,3.66,1,4.5
SKU-5CE02680E1,Folder Manila A4,,Folder,Unidad,391.0,9.0,9.0,2.43,6.57,1,1.0
SKU-92E9FC0267,Folder Top,,Folder,Unidad,26.0,19.0,76.0,50.6667,25.3333,1,4.0
SKU-A95695902B,Folder Vinifan,,Folder,Unidad,2.0,4.0,20.0,10.68,9.32,1,5.0
SKU-67CEA9B1B6,forro artesco,Artesco,Forro Vinifan,unidad,6.0,6.0,21.0,14.0,7.0,1,3.5
SKU-5CC706071A,Forro vinifan A4,Forrofan,Forro Vinifan,Unidad,8.0,1.0,3.5,2.0,1.5,1,3.5
SKU-86FCEA2F11,Forro Vinifan A4,Vinifan,Forro Vinifan,Unidad,0.0,4.0,28.0,16.0,12.0,1,7.0
SKU-CC0A8E99BA,Forro vinifan A4,Perufan,Forro Vinifan,Unidad,8.0,6.0,27.0,21.0,6.0,1,4.5
SKU-610A957481,Forro Vinifan Grande OM,Perufan,Forro Vinifan,Unidad,0.0,2.0,14.0,14.0,0.0,1,7.0
SKU-F901C51CE7,Goma en barra 21Gr,Layconsa,Goma,Unidad,10.0,5.0,17.5,9.0,8.5,1,3.5
SKU-D8FC9604BF,Goma en barra 40g,Artesco,Goma,unidad,6.0,6.0,30.0,18.0,12.0,1,5.0
SKU-D740B5A41D,Goma en barra 40Gr,Faber Castell,Goma,Unidad,0.0,3.0,15.0,12.0,3.0,1,5.0
SKU-CF887E5EC4,Goma en barra 8 gr,Layconsa,Goma,unidad,28.0,2.0,5.0,2.2,2.8,1,2.5
SKU-83F6CC885D,Goma liquida 125g,Layconsa,Goma,unidad,23.0,1.0,3.0,2.0,1.0,1,3.0
SKU-BF27740F3E,Goma liquida 250g,Layconsa,Goma,unidad,15.0,9.0,36.0,25.5,10.5,1,4.0
SKU-E6ECA4BB2D,Goma Liquida Mar David 60gr,,Goma,Unidad,3.0,6.0,9.0,5.4667,3.5333,1,1.5
SKU-F06AE39D3D,Hizopo,,,Unidad,11.0,4.0,6.0,3.6667,2.3333,1,1.5
