product_sku,product_name,brand,tipo,unit,stock_current,qty_sold_total,sales_total,cost_total,profit_total,price_variants_count,price_variants
SKU-DDAC91E10D,Papel boom,,Papel,unidad,6.0,4.0,72.0,49.6,22.4,1,18.0
SKU-2544F733EC,Papel boom 70 gr,,Papel,unidad,6.0,4.0,72.0,56.0,16.0,1,18.0
SKU-34FB243C18,papel boom acolor pastel,,,unidad,490.0,10.0,1.0,0.4,0.6,1,0.1
SKU-9FCECC1704,Papel Cometa,,Papel,Unidad,64.0,2.0,1.0,0.4,0.6,1,0.5
SKU-1EDA4B9225,Papel Corrospum,,Papel,Unidad,29.0,4.0,20.0,14.0,6.0,1,5.0
SKU-283B2C011D,Papel Craft,,Papel,Unidad,64.0,8.0,8.0,2.5556,5.4444,1,1.0
SKU-7762F9C08A,Papel Crepe,,Papel,Unidad,101.0,61.0,61.0,28.6545,32.3455,1,1.0
SKU-E51E19D0B3,Papel Cuadriculado 1x1,,Papel,Unidad,95.0,42.0,29.4,9.1971,20.2029,1,0.7
SKU-B82DE634A2,Papel Cuadrimax 2x2,,Papel,Unidad,187.0,13.0,9.1,2.665,6.435,1,0.7
SKU-F0BB6DEF54,Papel de regalo,,Papel,Unidad,116.0,6.0,4.2,1.677,2.523,1,0.7
SKU-78A62B9611,Papel Lustre,,Papel,Unidad,211.0,33.0,16.5,7.9,8.6,1,0.5
SKU-9FB3EB5C65,papel lustre blanco y surtido a color,,Papel,unidad,106.0,19.0,9.5,5.7,3.8,1,0.5
SKU-A47A5E460A,Papel microporoso escarchado,,Papel,Unidad,18.0,28.0,140.0,70.8,69.2,1,5.0
SKU-A4C46F4DA5,Papel microporoso liso,,,unidad,25.0,5.0,20.0,7.8333,12.1667,1,4.0
SKU-3023CF7487,Papel Punzones A4,,Papel,Unidad,18.0,4.0,20.0,12.0,8.0,1,5.0
SKU-9D4E4EE716,Papel Sedita,,Papel,Unidad,55.0,4.0,2.0,0.5424,1.4576,1,0.5
SKU-D80DB7710E,papel sedita,,,unidad,94.0,6.0,3.0,1.08,1.92,1,0.5
SKU-FD56706B4D,papel silufan,,,unidad,8.0,1.0,1.0,0.4333,0.5667,1,1.0
SKU-4EE3C50F1D,Papel suave higienico,,,unidad,0.0,60.0,60.0,204.0,-144.0,1,1.0
SKU-B1B6F52169,papel toalla,,,unidad,2.0,8.0,32.0,20.0,12.0,1,4.0
SKU-6884E99187,Papelote blanco,,Papel,Unidad,36.0,9.0,6.3,1.8,4.5,1,0.7
SKU-105EDC100D,paquete de ganchos de 6 pares,,,Paquete,33.0,3.0,1.5,0.375,1.125,1,0.5
SKU-B513B72D31,pares de pilis,,,pares,3.0,2.0,2.0,0.6,1.4,1,1.0
SKU-77F19E15CF,Pasta dental,,,unidad,2.0,10.0,35.0,28.3333,6.6667,1,3.5
SKU-CD3F82FF5C,Peine con cola,,,Unidad,9.0,1.0,1.0,0.5,0.5,1,1.0
SKU-BEC3F203A0,Peine grande,,,Unidad,10.0,1.0,1.0,0.5,0.5,1,1.0
SKU-DFEAA60E9C,Peine Pequeño,,,Unidad,24.0,1.0,0.8,0.24,0.56,1,0.8
SKU-8D8B2631DB,Pelotas de trapo,,,unidad,11.0,1.0,1.5,0.75,0.75,1,1.5
SKU-94488B3896,Percheros,,,Unidad,37.0,5.0,7.5,3.131,4.369,1,1.5
SKU-449B9500E7,Perforador,Arteza,Perforador,Unidad,6.0,2.0,18.0,9.0,9.0,1,9.0
SKU-CBB8FF3308,Perforador,Artesco,Perforador,Unidad,12.0,1.0,12.0,5.5,6.5,1,12.0
SKU-C34DBFF5C5,Pincel Sobre,,,Unidad,28.0,20.0,40.0,18.3333,21.6667,1,2.0
SKU-D8947D85F1,Pincel surtido 0/00/000,,Pincel,unidad,66.0,6.0,6.0,4.0,2.0,1,1.0
