sale_ref,customer_code,customer_name,product_sku,product_name,brand,tipo,unit,qty,price_unit,line_total,cost_total,profit_total,weeks
VENTA-2025-0090,CLI-2025,clients-2025,SKU-55A37B661F,Tijeras amarillas,,Tijera,Unidad,2.0,1.5,3.0,1.25,1.75,SEMANA-1-A
VENTA-2025-0091,CLI-2025,clients-2025,SKU-58B59695F9,tasa con rosas,,,unidad,2.0,20.0,40.0,26.0,14.0,SEMANA-2-A
VENTA-2025-0092,CLI-2025,clients-2025,SKU-59973D5BF3,Crema Baselina,,,Unidad,1.0,1.0,1.0,0.5,0.5,SEMANA-3-A
VENTA-2025-0093,CLI-2025,clients-2025,SKU-59E1F5048A,Engrapador artesco,Artesco,Engrampador,Unidad,1.0,8.5,8.5,8.5,0.0,SEMANA-1-A
VENTA-2025-0094,CLI-2025,clients-2025,SKU-5AF26D5396,Sobre Manila A4 premium,,,Unidad,25.0,1.0,25.0,11.1111,13.8889,SEMANA-3-A
VENTA-2025-0095,CLI-2025,clients-2025,SKU-5C73B60915,Stikers de Portada - Plancha,,,Unidad,20.0,0.2,4.0,2.5,1.5,SEMANA-1-A
VENTA-2025-0096,CLI-2025,clients-2025,SKU-5CC706071A,Forro vinifan A4,Forrofan,Forro Vinifan,Unidad,1.0,3.5,3.5,2.0,1.5,SEMANA-3-A
VENTA-2025-0097,CLI-2025,clients-2025,SKU-5CE02680E1,Folder Manila A4,,Folder,Unidad,9.0,1.0,9.0,2.43,6.57,"SEMANA-1-A,SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0098,CLI-2025,clients-2025,SKU-5D1CA38400,"cuaderno stanford,universal, collaje #","stanford,",cuadernos,Unidad,4.0,7.0,28.0,20.0,8.0,SEMANA-1-A
VENTA-2025-0099,CLI-2025,clients-2025,SKU-5FE2F611DF,Portafolio Papel,,Portafolio,Unidad,2.0,8.0,16.0,10.0,6.0,"SEMANA-1-A,SEMANA-3-A"
