excel_sheet,excel_row,id_articulo_excel,etiqueta_nuevo,tipo,marca,nombre,cantidad_count,unidad_medida,precio_inicial,costo_total,precio_por_unidad,precio_venta_sugerido
Hoja 4,125,,False,,,Tomatodo pequeño,7.0,Unidad,7.0,49.0,7.0,10.0
Hoja 4,126,,False,,,Tomatodo Mediano tricolor,15.0,Unidad,12.0,180.0,12.0,15.0
Hoja 4,127,NUEVO,True,Papel,,Papel Lustre,144.0,Unidad,0.2,28.8,0.2,0.5
Hoja 4,128,,False,Papel,,Papel de regalo,122.0,Unidad,0.2795081967,34.1,0.2795081967,0.7
Hoja 4,129,,False,Papel,,Papel corrugado,26.0,Unidad,2.4,62.4,2.4,3.5
Hoja 4,130,,False,Papel,,Papel Corrospum,33.0,Unidad,3.5,115.5,3.5,5.0
Hoja 4,131,,False,Papel,,Papel Craft,72.0,Unidad,0.3194444444,23.0,0.3194444444,1.0
Hoja 4,132,,False,Papel,,Papel Sedita,40.0,Unidad,0.2,8.0,0.2,0.5
Hoja 4,133,,False,Papel,,Papel Cometa,66.0,Unidad,0.2,13.2,0.2,0.5
Hoja 4,134,,False,Papel,,Papel celofan,5.0,Unidad,0.44,2.2,0.44,1.0
Hoja 4,135,,False,Papel,,Papel Cuadriculado 1x1,137.0,Unidad,0.2189781022,30.0,0.2189781022,0.5
Hoja 4,136,,False,Papel,,Papel Cuadrimax 2x2,200.0,Unidad,0.205,41.0,0.205,0.5
Hoja 4,137,NUEVO,True,Papel,,Papel microporoso escarchado,10.0,Unidad,3.0,30.0,3.0,5.0
Hoja 4,138,NUEVO,True,Papel,,Papel Crepe,52.0,Unidad,0.6,31.2,0.6,1.0
Hoja 4,139,,False,Papel,,Papelote blanco,45.0,Unidad,0.2,9.0,0.2,0.5
Hoja 4,140,,False,Papel,,Cartulina a colores,47.0,Unidad,0.4191489362,19.7,0.4191489362,1.0
Hoja 4,141,,False,Papel,,Cartulina Fosforesente,45.0,Unidad,2.5,112.5,2.5,0.0
Hoja 4,142,,False,Papel,,Papel Arcoiris,7.0,Paquete,19.0,133.0,19.0,28.0
Hoja 4,143,NUEVO,True,Papel,,Papel Punzones A4,10.0,Unidad,1.5,15.0,1.5,3.0
Hoja 4,144,,False,Papel,,Papel Cuadernillo,45.0,Sobre,0.0,0.0,0.0,0.0
Hoja 4,145,,False,Regla,Layconsa,Reglas de 20 cm,38.0,Unidad,0.5578947368,21.2,0.5578947368,1.0
Hoja 4,146,,False,Regla,Artesco,Reglas de 30 cm,49.0,Unidad,0.6408163265,31.4,0.6408163265,1.5
Hoja 4,147,NUEVO,True,Regla,Layconsa,Juego de reglas 20 cm,15.0,Unidad,2.0,30.0,2.0,3.5
Hoja 4,148,NUEVO,True,Regla,Layconsa,Juego de reglas 30 cm,21.0,Unidad,3.0,63.0,3.0,5.0
Hoja 4,149,NUEVO,True,Portafolio,,Portafolio Papel,8.0,Unidad,5.0,40.0,5.0,6.0
Hoja 4,150,,False,Portafolio,,Ray Perú y Artesco,21.0,Unidad,5.333333333,112.0,5.333333333,10.0
Hoja 4,151,NUEVO,True,Paleta,,Paletas de pinturas,12.0,Unidad,1.166666667,14.0,1.166666667,3.0
Hoja 4,152,,False,Rompecabezas,,Rompecabezas de 20 piesas,23.0,Unidad,5.826086957,134.0,5.826086957,11.0
Hoja 4,153,,False,Rompecabezas,,Rompecabezas de 50 piesas,1.0,Unidad,15.0,15.0,15.0,15.0
Hoja 4,154,,False,crayones,Layconsa,Crayones Jumbo,54.0,Unidad,3.083333333,166.5,3.083333333,5.5
Hoja 4,155,,False,plastilina,Layconsa,Plastilina,3.0,Docena,35.0,105.0,2.916666667,5.5
Hoja 4,156,,False,Perforador,Artesco,Perforador,13.0,Unidad,5.5,71.5,5.5,10.0
Hoja 4,157,,False,Perforador,Arteza,Perforador,8.0,Unidad,4.5,36.0,4.5,9.0
Hoja 4,158,,False,Perforador,,Perforador stapler,2.0,Unidad,4.5,9.0,4.5,9.0
Hoja 4,159,,False,Engrampador,,Engrampador stapler,5.0,Unidad,5.0,25.0,5.0,10.0
Hoja 4,160,,False,Engrampador,,Engrampador artesa,2.0,Unidad,5.0,10.0,5.0,10.0
Hoja 4,161,,False,Engrampador,Artesco,Engrapador artesco,1.0,Unidad,8.5,8.5,8.5,10.0
Hoja 4,162,,False,Engrampador,,Cajitas de Grampa,12.0,Unidad,0.8,9.6,0.8,1.5
Hoja 4,163,,False,Tampon,Layconsa,Tampon Rojo L-T3,5.0,Unidad,2.4,12.0,2.4,4.0
Hoja 4,164,,False,Tampon,Artesco,Tampon Negro,3.0,Unidad,3.0,9.0,3.0,5.0
Hoja 4,165,,False,Compas,Layconsa,Compas,18.0,Unidad,1.166666667,21.0,1.166666667,3.5
Hoja 4,166,,False,,,Percheros,42.0,Unidad,0.6261904762,26.3,0.6261904762,1.5
Hoja 4,167,,False,,,Corazon de regalos,3.0,Unidad,12.0,36.0,12.0,18.0
Hoja 4,168,,False,,,Cordones,6.0,Unidad,0.0,0.0,0.0,0.0
Hoja 4,169,,False,,,Imperdible Blanco,130.0,Unidad,0.0,0.0,0.0,0.0
Hoja 4,170,,False,,,Imperdible Amarillo Pequeño,1.0,Paquete,0.0,0.0,0.0,0.0
Hoja 4,171,,False,,,Gancho Merly,38.0,Unidad,0.2105263158,8.0,0.2105263158,0.5
Hoja 4,172,NUEVO,True,,,Libro de Cuentos,4.0,Unidad,1.5,6.0,1.5,3.5
Hoja 4,173,,False,,,cartulinas de pliego a color A4,6.0,Unidad,4.0,24.0,4.0,6.0
Hoja 4,174,,False,,,Globos,2.0,Ciento,8.0,16.0,0.08,0.5
Hoja 4,175,,False,,,Botones,57.0,Unidad,0.6666666667,38.0,0.6666666667,1.0
Hoja 4,176,,False,,,Escarcha,34.0,Unidad,0.4,13.6,0.4,1.0
Hoja 4,177,,False,,,Lentejuelas JhinPequeñas,1.0,Paquete,8.0,8.0,0.6666666667,1.0
Hoja 4,178,,False,,,Lentejuelas grandes,12.0,Unidad,0.4,4.8,0.4,1.0
Hoja 4,179,,False,,,Piñes dedecoración,1.0,Paquete,8.0,8.0,0.6666666667,1.0
Hoja 4,180,,False,,,Ojitos,1.0,Paquete,8.0,8.0,0.6666666667,1.0
Hoja 4,181,,False,,,Mistura Amarilla,1.0,,8.0,8.0,8.0,0.0
Hoja 4,182,,False,,,Mistura de Color,1.0,,8.0,8.0,8.0,0.0
Hoja 4,183,,False,,,Dados pequeños,100.0,Unidad,0.25,25.0,0.25,0.5
Hoja 4,184,,False,,,Luces de colors 200 leds,8.0,Unidad,15.0,120.0,15.0,18.0
Hoja 4,185,NUEVO,True,,,Pincel Sobre,2.0,Sobre,7.0,14.0,1.166666667,2.0
