sku,producto,tipo,marca,unidad,precio_venta_referencia,costo_referencia,etiqueta_nuevo
SKU-9E525049DE,cuaderno surco rayado 100 h,cuadernos,Surco,Unidad,3.5,2.34,false
SKU-7346AC1948,Cuaderno surco triple reglon 100 h,cuadernos,Surco,Unidad,3.5,2.3025,false
SKU-C031FE8F76,cuadernos anillados capibara,,,unidad,0.0,0.0,true
SKU-E8640331AC,cuadernos stanford 1x1,cuadernos,"stanford,",unidad,0.0,0.0,true
SKU-F0552067DA,Cuadernos stanford 2x2,cuadernos,"stanford,",unidad,0.0,0.0,true
SKU-2101C27711,cuadernouniversal 1x1,cuadernos,universal,Unidad,7.0,5.0,false
SKU-7104AD1984,Cuatrimoto 876/886,Juguetes,,Unidad,12.0,8.0,false
SKU-6F4B1E2A08,Cuter por tiras d 12,Cuter,,unidad,0.0,0.0,true
SKU-66529C0038,Dados Grandes,Juegos didacticos,,unidad,0.0,0.0,true
SKU-818ED060B7,Dados pequeños,,,Unidad,0.5,0.25,false
SKU-163DD0A3EC,Diccionario Bruno,,,Unidad,15.0,7.0,false
SKU-3B45C1A452,Diccionario Bruno Ingles,,,Unidad,15.0,7.5,false
SKU-8B83AAD0BD,Diccionario Bruno Sinonimos Antonimos,,,Unidad,15.0,7.5,false
SKU-04EBD80B61,Engrampador artesa,Engrampador,,Unidad,10.0,5.0,false
SKU-32AB3A0D9C,Engrampador stapler,Engrampador,,Unidad,10.0,5.0,false
SKU-59E1F5048A,Engrapador artesco,Engrampador,Artesco,Unidad,8.5,8.5,false
SKU-9D9DA3D551,escarapela,,,unidad,0.0,0.0,true
SKU-3E2C39E2F6,Escarcha,,,Unidad,1.0,0.4,false
SKU-2981C63A39,escarcha bliquida grande,,,unidad,0.0,0.0,true
SKU-B3C78D2293,Escobilla Grande de Zapato,,,Unidad,3.5,1.3,false
SKU-E325832F3F,Escobilla Pequeña de Zapato,,,Unidad,2.5,1.0,false
SKU-ECD780DC01,Espejo Mediano,,,Unidad,1.0,0.7,false
SKU-E0DA16F501,Espejo Pequeño,,,Unidad,1.0,0.5,false
SKU-2DF149588E,Esponja Merlin,,,Unidad,1.0,0.6667,false
SKU-EE9347CD6F,Estuches de Plastico,Cartuchera,,Unidad,7.0,6.0,false
SKU-E9EF9D1B06,Fastener de Gusano,,Artesco,Unidad,2.0,0.9594,false
SKU-CD28C46730,Fastener de metal,,Artesco,Unidad,0.5,0.08,false
SKU-80F3629E6F,Folder a color de cartulina,Folder,,Unidad,1.0,0.36,false
SKU-DAADE270A8,Folder doble tapa,,,unidad,0.0,0.0,true
SKU-807FCCA0D5,Folder Genius,Folder,,Unidad,4.5,2.67,false
SKU-5CE02680E1,Folder Manila A4,Folder,,Unidad,1.0,0.27,false
SKU-92E9FC0267,Folder Top,Folder,,Unidad,4.0,2.6667,false
SKU-A95695902B,Folder Vinifan,Folder,,Unidad,5.0,2.67,false
SKU-67CEA9B1B6,forro artesco,Forro Vinifan,Artesco,unidad,0.0,0.0,true
SKU-86FCEA2F11,Forro Vinifan A4,Forro Vinifan,Vinifan,Unidad,7.0,4.0,false
SKU-CC0A8E99BA,Forro vinifan A4,Forro Vinifan,Perufan,Unidad,4.5,3.5,false
SKU-5CC706071A,Forro vinifan A4,Forro Vinifan,Forrofan,Unidad,3.5,2.0,false
SKU-610A957481,Forro Vinifan Grande OM,Forro Vinifan,Perufan,Unidad,7.0,7.0,false
SKU-AD04CF829D,Gancho Merly,,,Unidad,0.5,0.2105,false
SKU-D2E3DF6E54,gancho picos de colores,,,Unidad,1.0,0.6364,false
SKU-1046AB44A5,glitter de escarcha liquida x 6,,,unidad,0.0,0.0,true
SKU-AB321F3F5E,Globos,,,Unidad,0.5,0.08,false
SKU-F901C51CE7,Goma en barra 21Gr,Goma,Layconsa,Unidad,3.5,1.8,false
SKU-D8FC9604BF,Goma en barra 40g,Goma,Artesco,unidad,0.0,0.0,true
SKU-D740B5A41D,Goma en barra 40Gr,Goma,Faber Castell,Unidad,5.0,4.0,false
SKU-CF887E5EC4,Goma en barra 8 gr,Goma,Layconsa,unidad,0.0,0.0,true
SKU-6AFF87246E,goma en barra ranparente,,,unidad,0.0,0.0,true
SKU-83F6CC885D,Goma liquida 125g,Goma,Layconsa,unidad,0.0,0.0,true
SKU-BF27740F3E,Goma liquida 250g,Goma,Layconsa,unidad,0.0,0.0,true
SKU-E6ECA4BB2D,Goma Liquida Mar David 60gr,Goma,,Unidad,1.5,0.9111,false
SKU-FEC4345327,Guantes,,,pares,3.0,2.2,false
SKU-CB6A706CAF,guillet,,,Cajitas,0.5,0.3,false
SKU-F06AE39D3D,Hizopo,,,Unidad,1.5,1.0,true
SKU-C74ADF4922,Hojas de color 100 und,,,unidad,0.0,0.0,true
SKU-3702ECA90D,Imperdible Amarillo Pequeño,,,Unidad,0.0,0.0,false
SKU-D937B9BE42,Imperdible Blanco,,,Unidad,0.0,0.0,false
