sku,producto,tipo,marca,unidad,precio_venta_referencia,costo_referencia,etiqueta_nuevo
SKU-14F63E966D,Stiker cuaderno,,,unidad,0.0,0.0,true
SKU-BA9E6F373B,STIKER DE PRECIOS,,,unidad,0.0,0.0,true
SKU-5C73B60915,Stikers de Portada - Plancha,,,Unidad,0.2,0.125,false
SKU-448A8AC612,Stikers Have Love,,,Unidad,1.0,0.48,true
SKU-259711D0CD,Super esponja,,,Unidad,1.0,0.4583,false
SKU-F8C11BD284,Tabla periodica,,,Unidad,1.5,0.6667,false
SKU-0D608B9E69,Tableros Acrilicos,,,Unidad,11.0,7.0,false
SKU-398C843E98,Tamgram,Juegos didacticos,,unidad,0.0,0.0,true
SKU-C6455B5467,Tampon Negro,Tampon,Artesco,Unidad,5.0,3.0,false
SKU-846F88306F,Tampon Rojo L-T3,Tampon,Layconsa,Unidad,4.0,2.4,false
SKU-570671D729,Tapa boca negro,,,Unidad,0.5,0.1,false
SKU-5345D33C2E,Tapa boca pequeño,,,Unidad,0.5,0.08,false
SKU-16733DCBFC,Tapa boca pequeño rosado,,,Unidad,0.5,0.0833,false
SKU-E4B751776A,tapitas de botella,Juegos didacticos,,unidad,0.0,0.0,true
SKU-4FD29741F2,taps,,,unidad,0.0,0.0,false
SKU-8A83060E82,Tarjador animalitos,,,unidad,0.0,0.0,true
SKU-596614038E,Tarjadores,Saca Punta,,Unidad,1.0,0.5,false
SKU-58B59695F9,tasa con rosas,,,unidad,0.0,0.0,true
SKU-DFB871122D,Temperas x7,Tempera,Layconsa,Cajitas,7.0,5.0,true
SKU-7538FE51BC,Tijera Artesco mango goma,Tijera,Artesco,unidad,0.0,0.0,true
SKU-418AE7AD5C,Tijera Eco,Tijera,Eco,unidad,0.0,0.0,true
SKU-B0946D98AA,Tijera escolar,Tijera,Layconsa,unidad,0.0,0.0,true
SKU-B763AB4CA4,Tijeras Acolores,Tijera,,Unidad,1.5,0.6235,false
SKU-55A37B661F,Tijeras amarillas,Tijera,,Unidad,1.5,0.625,false
SKU-0FC7E58E52,Tijeras R-Relampago con formas,Tijera,,Unidad,3.5,1.6667,false
SKU-980BA39232,tiros,,,unidad,0.0,0.0,true
SKU-FA80AA5B55,Toalla con diseño,Toallas,,Unidad,5.0,3.5,true
SKU-A292B4DE9C,Toalla sin diseño,Toallas,,Unidad,4.0,1.5,true
SKU-9F897FBDE0,Tomatodo Grande,,Artesco,Unidad,15.0,12.0,false
SKU-9A43DE1973,Tomatodo Mediano tricolor,,,Unidad,15.0,12.0,false
SKU-31ACA0DEE5,Tomatodo pequeño,,,Unidad,10.0,7.0,false
SKU-3F113AD6D9,Trish,,,Unidad,0.5,0.3,false
SKU-35F30621F4,trompos,,,Unidad,1.0,0.6625,false
SKU-E4F5832814,ula ula,,,unidad,5.0,4.0,false
SKU-232269CDDF,Vaso de plastico,,,unidad,0.0,0.0,true
SKU-C9F006ABBA,vedhiculo constructor 077-31,Juguetes,,Unidad,10.0,7.0,false
SKU-5228AD825B,Vehiculo constructor 5468,Juguetes,,Unidad,12.0,6.0,false
SKU-A37A3F0DA8,Vehiculo Constructor 677-42A,Juguetes,,Unidad,15.0,11.0,false
SKU-1AE47B4AA5,vincha 104,,,Unidad,1.5,1.0,false
