product_id,sku,name,brand,product_type
751bc068-7f19-4fc9-8c51-e0a6632cc8bc,SKU-0F68E2EC13,Micas A4,Artesco,
445ae7c2-4ccf-4647-bfa8-f7477bf95e90,SKU-A8C9B88E81,micas con diseño,,
c18d509c-6181-4211-a8b2-4e673d3cd696,SKU-93E5BF3071,Microporoso escarchado A4,,
f2dbbac0-e4fb-4293-8fe8-1bc579c39023,SKU-96A54B592D,Microporoso Glitter self Adhesivo letras escarchados,,
195fdf6b-3c4c-4510-bffb-27702aed882f,SKU-E541A2F517,Mistura Amarilla,,
d7ffbc82-cb9d-45ea-8de8-5fbcefe7445f,SKU-45575800B4,Mistura de Color,,
4da70132-32ac-4735-bec6-496761b2c7d8,SKU-12188D3F87,moñeras,,
0d0561f1-bada-48c7-a126-255244f53bc2,SKU-D0B9BAA1A3,Ojitos,,
6b2a6284-4cf4-407d-a5ca-59b36504012c,SKU-A4C46F4DA5,Papel microporoso liso,,
29ac5ed8-c0cf-42f8-a5fc-a83745afa40b,SKU-D80DB7710E,papel sedita,,
e8bf5d65-2a4e-4360-8429-c1b7d0e2266a,SKU-FD56706B4D,papel silufan,,
75100055-2fe5-4092-abd7-d69bef82d764,SKU-4EE3C50F1D,Papel suave higienico,,
e9dc096c-33e3-43ad-bb7a-b4e07facd7bf,SKU-B513B72D31,pares de pilis,,
c8870ffd-6348-4632-9aff-c085e6bb3e44,SKU-77F19E15CF,Pasta dental,,
bdbfbcdc-b8b0-45bc-bbe5-422295604a51,SKU-8D8B2631DB,Pelotas de trapo,,
a43d2721-124d-4f56-b740-3229397d9f62,SKU-D5444E56E1,pelotitas de llajes,,
cc2b0179-5c51-4565-ad53-c5abbc72d3d5,SKU-94488B3896,Percheros,,
00874705-71d7-4f83-9f7c-1b17bfca8f65,SKU-2BEED389E4,perlas adornos,,
e89c9649-337f-4006-9ec5-5b2c17bb557a,SKU-2B270DE01B,Piñes de Decoración,,
210f4db7-ba28-4136-b97a-a698b189b62b,SKU-AF85D08933,pinza de 12 und,,
78885ee3-6638-4b42-b10d-c53615251730,SKU-0C7D0AC4E6,pirañas grandes,,
59046d59-4875-4b1d-bcc2-9aa5118dc075,SKU-3AD10ADE3E,Pompones,,
0794efad-7cf1-4a43-b016-280fe88ad516,SKU-3BE02203E7,posit cuadriculado,,
5138ecb3-3dae-46ae-b20f-4300313016af,SKU-D9A535C356,Pozzis limpiatipo,,
47a86d6e-0b0f-442e-8dd5-d1c3fa74012e,SKU-479171A7EE,Pulsera ojito,,
307620f3-5f74-4cb2-b3be-bf12fbc356fa,SKU-8601F96067,Puntero,,
f2cc6229-a088-4f9b-81e1-18a739a03f32,SKU-44D2FC2D50,rosas,,
9cd545eb-06ef-4ede-8c0a-fd2e7b77fb7c,SKU-383B65F71F,rosas con osito,,
3e35e197-b52f-4a7a-badd-8c6a48821539,SKU-0C2AB09E16,rositas x 3,,
c266a889-d120-41f9-8213-3e414d17fc39,SKU-B2904A3F21,serpentina,,
4d2b4a0a-803a-445c-8c8b-d029d9fa2bdb,SKU-64AF411C73,Set de escuadras kuromi,,
0528c92d-5dbc-425d-b7cd-8b2574b00886,SKU-530AAFE75A,silvato pequeño,,
05d10ae8-f9fb-4e56-a3d1-609adb325992,SKU-5AF26D5396,Sobre Manila A4 premium,,
ac3ca922-03b4-49c3-b206-305f12e3ddf8,SKU-259711D0CD,Super esponja,,
7b72d34a-cae7-4bc6-94e9-e01824cc8618,SKU-F8C11BD284,Tabla periodica,,
e2b5852c-32f8-4525-9524-6efea47607e3,SKU-0D608B9E69,Tableros Acrilicos,,
3a7230e5-089b-45e0-a8d1-727b9449c81d,SKU-4FD29741F2,taps,,
bfa3491d-2afd-4a60-95cc-671b22ac73c3,SKU-8A83060E82,Tarjador animalitos,,
375e866f-9cc4-4fc6-ae06-7be0dcd3f796,SKU-58B59695F9,tasa con rosas,,
1eafa601-6269-4137-9611-714728910cc8,SKU-COMP-AYR-002-TRFOMY,Tira Fomy (ilegible),,
da5f96cf-4506-4cb0-be2b-34fade0b3385,SKU-COMP-AYR-002-TROJOS,Tira Ojos,,
3b3246fa-1324-4fa9-bfc3-5285ad9ff144,SKU-COMP-AYR-002-TRPERL,Tira Perlas,,
0c193034-4c2d-41c4-b843-5c9d14ba63c4,SKU-COMP-AYR-002-TRROSA,Tira Rosa,,
3c49265c-e055-48b1-a205-e1282e3e5b88,SKU-980BA39232,tiros,,
8ce8b968-db6c-42a1-8d95-f2c2013c1a1e,SKU-3F113AD6D9,Trish,,
af947bc0-69e8-40d4-8fa6-300187421592,SKU-35F30621F4,trompos,,
8aab88e6-64a5-4cd6-b2b2-457a833ad636,SKU-E4F5832814,ula ula,,
3cf5c61e-dd65-454f-b2a9-e1512d2136a8,SKU-232269CDDF,Vaso de plastico,,
27e94aa3-4bcc-4e8a-b972-5695097ba4c1,SKU-1AE47B4AA5,vincha 104,,
