product_id,sku,name,brand,product_type,status,suggested_category,score,reason
5bb4a6ea-01fb-49b0-82d3-358a7dfc88a4,SKU-3B45C1A452,Diccionario Bruno Ingles,,,assign_new_category,Diccionario,,name_cluster
b52f303f-8756-4952-9cfc-d28f2bae33bb,SKU-8B83AAD0BD,Diccionario Bruno Sinonimos Antonimos,,,assign_new_category,Diccionario,,name_cluster
fca5d4b0-fdc9-453c-94d0-b75dd755acf5,SKU-9D9DA3D551,escarapela,,,pending_manual,,,
fce53732-7a95-45d6-8a3d-2cd6c6d5ae9e,SKU-3E2C39E2F6,Escarcha,,,pending_manual,,,
90902c7d-0022-44b9-9a62-2468ce284627,SKU-B3C78D2293,Escobilla Grande de Zapato,,,pending_manual,,,
0065e1a6-2714-4833-8e6c-b511ee5c91f9,SKU-E325832F3F,Escobilla Pequeña de Zapato,,,pending_manual,,,
eb32025c-9dd9-41cf-ab3d-984578404bb0,SKU-ECD780DC01,Espejo Mediano,,,pending_manual,,,
6fbce598-3dd1-44e0-9d29-6bf44a7a9170,SKU-E0DA16F501,Espejo Pequeño,,,pending_manual,,,
835d53bd-5c86-435b-9521-a1ef42e61620,SKU-2DF149588E,Esponja Merlin,,,pending_manual,,,
38ba3d6d-b862-4fdb-b86e-5281baf92741,SKU-E9EF9D1B06,Fastener de Gusano,Artesco,,pending_manual,,,
e39b7cff-ff4f-4d13-8aa9-2290d3953fca,SKU-CD28C46730,Fastener de metal,Artesco,,pending_manual,,,
1a6e7d58-59a1-469f-ba56-6575019763a3,SKU-DAADE270A8,Folder doble tapa,,,assign_high_confidence,Folder,5,phrase_match
44a841e9-c404-4ac2-8ae2-ceda74b2a6a8,SKU-GANCHODE-DC9C80F5,Gancho de Ropa,,,assign_new_category,Gancho,,name_cluster
d3353381-e7c8-480a-8021-1244546ec719,SKU-AD04CF829D,Gancho Merly,,,assign_new_category,Gancho,,name_cluster
ce942090-0328-4576-b524-e877df85abf0,SKU-D2E3DF6E54,gancho picos de colores,,,review_low_confidence,Colores,3,phrase_match
c447a7f5-3cb7-434b-a252-e8059d01c8bb,SKU-AB321F3F5E,Globos,,,pending_manual,,,
e2776d61-db63-412b-8ea7-ff69f67adc21,SKU-6AFF87246E,goma en barra ranparente,,,assign_high_confidence,Goma,5,phrase_match
0b084c0d-b3a2-400a-b9a9-d307878fd05e,SKU-2981C63A39,Goma escarchada Líquida Grande,Besco,,assign_high_confidence,Goma,5,phrase_match
2adecd9c-4e9e-41ea-9ac1-d16983aabc8a,SKU-1046AB44A5,Goma escarchada liquida x6,,,assign_high_confidence,Goma,5,phrase_match
e97191e9-4364-49eb-acfb-7ff42a024a90,SKU-FEC4345327,Guantes,,,pending_manual,,,
d655e756-0edf-4e9d-9087-3d496c82a07c,SKU-CB6A706CAF,guillet,,,pending_manual,,,
da16ce79-cc19-44a2-9914-5e233c8fa6b7,SKU-F06AE39D3D,Hizopo,,,pending_manual,,,
e63344f7-32ed-4446-9e24-72cb151a0407,SKU-C74ADF4922,Hojas de color 100 und,,,review_low_confidence,Colores,3,phrase_match
9d3bf567-ba5a-4ba2-97e2-9a4fa4a9d612,SKU-3702ECA90D,Imperdible Amarillo Pequeño,,,pending_manual,,,
449ef057-4cd0-459b-802a-82199a3f2da0,SKU-D937B9BE42,Imperdible Blanco,,,pending_manual,,,
9f18d492-4658-490a-93f3-2f9ae8f156ba,SKU-26FF8F2A26,Jabon liquido grande,,,pending_manual,,,
b1f366ef-5690-4ce2-952c-4f8f53740c5c,SKU-C2A71FB517,Jabon liquido pequeño,,,pending_manual,,,
74247b08-f63a-4cbb-ba07-0fa4af2357e1,SKU-81B56FA010,jaboncillo camai,,,pending_manual,,,
