product_id,sku,name,brand,current_product_type,suggested_category,suggested_action,confidence,confidence_score,reason
bdbfbcdc-b8b0-45bc-bbe5-422295604a51,SKU-8D8B2631DB,Pelotas de trapo,,,Juguetes,asignar_existente,media,2,producto_ludico
cc2b0179-5c51-4565-ad53-c5abbc72d3d5,SKU-94488B3896,Percheros,,,Limpieza Hogar,crear_nueva,media,2,hogar_limpieza
00874705-71d7-4f83-9f7c-1b17bfca8f65,SKU-2BEED389E4,perlas adornos,,,Fiestas y Decoracion,crear_nueva,media,2,fiesta_decoracion
e89c9649-337f-4006-9ec5-5b2c17bb557a,SKU-2B270DE01B,Piñes de Decoración,,,Fiestas y Decoracion,crear_nueva,media,2,pines_decorativos
78885ee3-6638-4b42-b10d-c53615251730,SKU-0C7D0AC4E6,pirañas grandes,,,Accesorios de Cabello,crear_nueva,media,2,accesorios_cabello
5138ecb3-3dae-46ae-b20f-4300313016af,SKU-D9A535C356,Pozzis limpiatipo,,,Goma,asignar_existente,media,2,adhesivo_reutilizable
47a86d6e-0b0f-442e-8dd5-d1c3fa74012e,SKU-479171A7EE,Pulsera ojito,,,Accesorios de Cabello,crear_nueva,media,2,accesorios_cabello
307620f3-5f74-4cb2-b3be-bf12fbc356fa,SKU-8601F96067,Puntero,,,Material Educativo,crear_nueva,media,2,material_escolar_educativo
f2cc6229-a088-4f9b-81e1-18a739a03f32,SKU-44D2FC2D50,rosas,,,Fiestas y Decoracion,crear_nueva,media,2,fiesta_decoracion
9cd545eb-06ef-4ede-8c0a-fd2e7b77fb7c,SKU-383B65F71F,rosas con osito,,,Fiestas y Decoracion,crear_nueva,media,2,fiesta_decoracion
c266a889-d120-41f9-8213-3e414d17fc39,SKU-B2904A3F21,serpentina,,,Fiestas y Decoracion,crear_nueva,media,2,fiesta_decoracion
4d2b4a0a-803a-445c-8c8b-d029d9fa2bdb,SKU-64AF411C73,Set de escuadras kuromi,,,Regla,asignar_existente,media,2,escuadra_es_util_de_medicion
0528c92d-5dbc-425d-b7cd-8b2574b00886,SKU-530AAFE75A,silvato pequeño,,,Juguetes,asignar_existente,media,2,producto_ludico
ac3ca922-03b4-49c3-b206-305f12e3ddf8,SKU-259711D0CD,Super esponja,,,Limpieza Hogar,crear_nueva,media,2,hogar_limpieza
7b72d34a-cae7-4bc6-94e9-e01824cc8618,SKU-F8C11BD284,Tabla periodica,,,Material Educativo,crear_nueva,media,2,material_escolar_educativo
e2b5852c-32f8-4525-9524-6efea47607e3,SKU-0D608B9E69,Tableros Acrilicos,,,Material Educativo,crear_nueva,media,2,material_escolar_educativo
375e866f-9cc4-4fc6-ae06-7be0dcd3f796,SKU-58B59695F9,tasa con rosas,,,Fiestas y Decoracion,crear_nueva,media,2,fiesta_decoracion
0c193034-4c2d-41c4-b843-5c9d14ba63c4,SKU-COMP-AYR-002-TRROSA,Tira Rosa,,,Fiestas y Decoracion,crear_nueva,media,2,fiesta_decoracion
8ce8b968-db6c-42a1-8d95-f2c2013c1a1e,SKU-3F113AD6D9,Trish,,,Juguetes,asignar_existente,media,2,producto_ludico
af947bc0-69e8-40d4-8fa6-300187421592,SKU-35F30621F4,trompos,,,Juguetes,asignar_existente,media,2,producto_ludico
8aab88e6-64a5-4cd6-b2b2-457a833ad636,SKU-E4F5832814,ula ula,,,Juguetes,asignar_existente,media,2,producto_ludico
3cf5c61e-dd65-454f-b2a9-e1512d2136a8,SKU-232269CDDF,Vaso de plastico,,,Limpieza Hogar,crear_nueva,media,2,hogar_limpieza
27e94aa3-4bcc-4e8a-b972-5695097ba4c1,SKU-1AE47B4AA5,vincha 104,,,Accesorios de Cabello,crear_nueva,media,2,accesorios_cabello
